Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Multi-Family with 2 - 4 Units	1980s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004799
Single-Family Attached	1990s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000457
Multi-Family with 2 - 4 Units	1990s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004892
Single-Family Attached	2000s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000465
Multi-Family with 2 - 4 Units	2000s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001112
Single-Family Attached	2010s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000106
Multi-Family with 2 - 4 Units	2010s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000550
Single-Family Attached	<1940	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000052
Multi-Family with 2 - 4 Units	<1940	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000220
Single-Family Attached	1940s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000021
Multi-Family with 2 - 4 Units	1940s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000464
Single-Family Attached	1950s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000044
Multi-Family with 2 - 4 Units	1950s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000470
Single-Family Attached	1960s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000045
Multi-Family with 2 - 4 Units	1960s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000671
Single-Family Attached	1970s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000064
Multi-Family with 2 - 4 Units	1970s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000588
Single-Family Attached	1980s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000056
Multi-Family with 2 - 4 Units	1980s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000618
Single-Family Attached	1990s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000059
Multi-Family with 2 - 4 Units	1990s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000630
Single-Family Attached	2000s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000060
Multi-Family with 2 - 4 Units	2000s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000143
Single-Family Attached	2010s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000014
Multi-Family with 2 - 4 Units	2010s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001527
Single-Family Attached	<1940	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000145
Multi-Family with 2 - 4 Units	<1940	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000611
Single-Family Attached	1940s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000058
Multi-Family with 2 - 4 Units	1940s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001289
Single-Family Attached	1950s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000123
Multi-Family with 2 - 4 Units	1950s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001304
Single-Family Attached	1960s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000124
Multi-Family with 2 - 4 Units	1960s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001862
Single-Family Attached	1970s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000177
Multi-Family with 2 - 4 Units	1970s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001632
Single-Family Attached	1980s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000155
Multi-Family with 2 - 4 Units	1980s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001714
Single-Family Attached	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000163
Multi-Family with 2 - 4 Units	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.001747
Single-Family Attached	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000166
Multi-Family with 2 - 4 Units	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000397
Single-Family Attached	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000038
Multi-Family with 2 - 4 Units	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000186
Single-Family Attached	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000408
Single-Family Detached	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000075
Single-Family Attached	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000163
Single-Family Detached	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000157
Single-Family Attached	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000344
Single-Family Detached	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000159
Single-Family Attached	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000348
Single-Family Detached	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000227
Single-Family Attached	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000497
Single-Family Detached	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000199
Single-Family Attached	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000436
Single-Family Detached	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000209
Single-Family Attached	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000458
Single-Family Detached	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000213
Single-Family Attached	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000466
Single-Family Detached	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000048
Single-Family Attached	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000106
Single-Family Detached	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000169
Single-Family Attached	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000370
Single-Family Detached	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000068
Single-Family Attached	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000148
Single-Family Detached	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000143
Single-Family Attached	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000312
Single-Family Detached	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000145
Single-Family Attached	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000316
Single-Family Detached	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000206
Single-Family Attached	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000451
Single-Family Detached	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000181
Single-Family Attached	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000396
Single-Family Detached	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000190
Single-Family Attached	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000415
Single-Family Detached	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000194
Single-Family Attached	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000423
Single-Family Detached	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000044
Single-Family Attached	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000096
Single-Family Detached	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000467
Single-Family Attached	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.001020
Single-Family Detached	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000187
Single-Family Attached	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
